Timestamp,Where do you mostly run your Kubernetes clusters?,How do you currently manage the scale of your  Kuberentes Cluster? ,How many containers on average do you run per cluster?,Which metrics do you use to scale your pods and cluster nodes?,Which of these challenges do you face managing the scale of your cluster,How do you coordinate allocation of resources across services managed by different teams?,Would you like to hear from us and get survey results?,What's the best email to reach out to you?,How many nodes on average do you run per cluster?
7/11/2018 10:36:26,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,N/A,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 10:38:41,AWS - I manage my own cluster(s),Cluster Autoscaler,0 - 50,CPU,We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/11/2018 10:38:43,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,100 - 200,None ATM,Paying for more bare metal servers (required to be on-premises for our workloads though),Namespaces and quotas,Yes,anonymized ,6 - 10
7/11/2018 10:41:32,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",None - my resources needs are mostly static.,200 - 500,None,We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/11/2018 10:43:05,AWS - I manage my own cluster(s),"Cluster Autoscaler, Horizontal Autoscaler",50 - 100,"memory, Network I/O",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 10:49:13,AWS - I manage my own cluster(s),"Cluster Autoscaler, Horizontal Autoscaler",50 - 100,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,11 - 20
7/11/2018 10:53:35,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine, Azure - using Azure Kubernetes Services",Vertical Pod Autoscaler,200 - 500,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/11/2018 10:58:55,"AWS - Elastic Kubernetes Services, AWS - I manage my own cluster(s), GCP - using Kubernetes Engine","Cluster Autoscaler, Horizontal Autoscaler, Vertical Pod Autoscaler",0 - 50,CPU,We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 11:04:08,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 11:08:57,Hetzner Cloud,None - my resources needs are mostly static.,0 - 50,memory,We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 11:09:41,GCP - using Kubernetes Engine,Vertical Pod Autoscaler,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 11:16:25,GCP - using Kubernetes Engine,Cluster Autoscaler,50 - 100,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/11/2018 11:18:34,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",Horizontal Autoscaler,100 - 200,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,11 - 20
7/11/2018 11:32:55,"AWS - Elastic Kubernetes Services, AWS - I manage my own cluster(s)",Cluster Autoscaler,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 11:33:29,"AWS - Elastic Kubernetes Services, GCP - using Kubernetes Engine, GCP - I manage my own cluster(s)","Cluster Autoscaler, Vertical Pod Autoscaler",50 - 100,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/11/2018 11:40:52,GCP - using Kubernetes Engine,Cluster Autoscaler,0 - 50,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 11:51:52,"AWS - Elastic Kubernetes Services, AWS - I manage my own cluster(s)",Cluster Autoscaler,200 - 500,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,20 - 50
7/11/2018 11:52:12,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud","Cluster Autoscaler, Horizontal Autoscaler",50 - 100,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/11/2018 11:58:59,AWS - I manage my own cluster(s),Cluster Autoscaler,50 - 100,"CPU, memory, Network I/O, Ingres",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/11/2018 12:02:52,"GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud",None - my resources needs are mostly static.,0 - 50,CPU,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 12:08:50,"GCP - using Kubernetes Engine, GCP - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",None - my resources needs are mostly static.,0 - 50,memory,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 12:40:18,AWS - I manage my own cluster(s),None - my resources needs are mostly static.,50 - 100,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/11/2018 12:45:28,AWS - I manage my own cluster(s),Horizontal Autoscaler,100 - 200,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/11/2018 13:10:15,GCP - using Kubernetes Engine,"Cluster Autoscaler, Horizontal Autoscaler",200 - 500,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/11/2018 14:20:59,GCP - using Kubernetes Engine,Cluster Autoscaler,0 - 50,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 16:43:15,On premise or private cloud - I don't use public cloud,"Horizontal Autoscaler, Vertical Pod Autoscaler",0 - 50,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,more than 100
7/11/2018 17:32:39,GCP - using Kubernetes Engine,None - my resources needs are mostly static.,0 - 50,CPU,We don't have issues managing the scale of our cluster or pods.,"Currently, we use k8s for only internal services like Kibana, prometheus, etc...",Yes,anonymized ,1 - 5 nodes
7/11/2018 17:40:12,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,"CPU, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 17:44:05,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud","Cluster Autoscaler, Horizontal Autoscaler",0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 18:06:23,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 18:38:36,GCP - using Kubernetes Engine,None - my resources needs are mostly static.,0 - 50,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 18:53:25,Aliyun,Cluster Autoscaler,0 - 50,"CPU, memory, Network I/O",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 20:21:01,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,50 - 100,memory,We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/11/2018 21:40:20,GCP - using Kubernetes Engine,Cluster Autoscaler,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 22:13:57,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine",None - my resources needs are mostly static.,0 - 50,memory,We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 22:18:38,Azure - using Azure Kubernetes Services,None - my resources needs are mostly static.,0 - 50,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 23:36:45,AWS - Elastic Kubernetes Services,Cluster Autoscaler,more than 500,CPU,We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/11/2018 23:53:45,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,100 - 200,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,11 - 20
7/12/2018 0:23:02,"GCP - using Kubernetes Engine, self-hosted local playgrounds","Horizontal Autoscaler, None - my resources needs are mostly static.",50 - 100,most workloads are static,We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 1:22:01,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,"CPU, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 2:54:20,AWS - I manage my own cluster(s),"None - my resources needs are mostly static., I do not use an autoscaler, even though I should.",100 - 200,CPU,We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/12/2018 4:35:22,AWS - I manage my own cluster(s),"Cluster Autoscaler, Horizontal Autoscaler",200 - 500,CPU,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,50 - 100
7/12/2018 5:58:13,"GCP - using Kubernetes Engine, Azure - using Azure Kubernetes Services, On premise or private cloud - I don't use public cloud","Cluster Autoscaler, Horizontal Autoscaler",50 - 100,CPU,We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/12/2018 6:13:08,"On premise or private cloud - I don't use public cloud, DigitalOcean","Vertical Pod Autoscaler, None - my resources needs are mostly static.",200 - 500,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/12/2018 6:45:54,On premise or private cloud - I don't use public cloud,"Cluster Autoscaler, Horizontal Autoscaler",more than 500,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,20 - 50
7/12/2018 8:42:26,GCP - using Kubernetes Engine,Manually,200 - 500,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/12/2018 9:09:58,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,100 - 200,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 10:44:39,GCP - using Kubernetes Engine,"Cluster Autoscaler, Horizontal Autoscaler",50 - 100,CPU,We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,11 - 20
7/12/2018 14:29:49,AWS - I manage my own cluster(s),"Cluster Autoscaler, Horizontal Autoscaler",100 - 200,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/12/2018 16:04:56,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,50 - 100,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,20 - 50
7/12/2018 16:32:05,On premise or private cloud - I don't use public cloud,"Cluster Autoscaler, Vertical Pod Autoscaler",0 - 50,"CPU, Network I/O",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/12/2018 16:32:09,"AWS - I manage my own cluster(s), GCP - I manage my own cluster(s)",Cluster Autoscaler,0 - 50,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/12/2018 16:32:57,GCP - using Kubernetes Engine,Cluster Autoscaler,0 - 50,memory,We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 16:36:01,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,200 - 500,"Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 16:36:06,On premise or private cloud - I don't use public cloud,"Cluster Autoscaler, Horizontal Autoscaler, Vertical Pod Autoscaler",more than 500,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/12/2018 16:37:29,"GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud",Being mostly on private premises we scale with a custom solution,more than 500,"CPU, memory, Network I/O",We tend to over-provision and pay more than we should,Namespaces and limits,Yes,anonymized ,11 - 20
7/12/2018 16:38:19,AWS - I manage my own cluster(s),None - my resources needs are mostly static.,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 16:41:28,"AWS - Elastic Kubernetes Services, AWS - I manage my own cluster(s)",None - my resources needs are mostly static.,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/12/2018 16:54:13,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine","Cluster Autoscaler, Horizontal Autoscaler, Vertical Pod Autoscaler",more than 500,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/12/2018 17:23:30,AWS - I manage my own cluster(s),Vertical Pod Autoscaler,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/12/2018 17:46:04,"GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud",Horizontal Autoscaler,0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 17:47:00,ECS - Aliyun.com,None - my resources needs are mostly static.,0 - 50,memory,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/12/2018 17:54:56,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,more than 500,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/12/2018 17:57:24,GCP - using Kubernetes Engine,Cluster Autoscaler,0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 18:05:31,"GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud",In-house code,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 18:06:02,"AWS - I manage my own cluster(s), Azure - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",Cluster Autoscaler,more than 500,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,50 - 100
7/12/2018 18:09:15,"AWS - Elastic Kubernetes Services, AWS - I manage my own cluster(s)",Cluster Autoscaler,0 - 50,"CPU, memory, Network I/O",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 18:22:26,AWS - I manage my own cluster(s),Cluster Autoscaler,200 - 500,"CPU, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/12/2018 18:23:38,aliyun,"Cluster Autoscaler, Horizontal Autoscaler, Vertical Pod Autoscaler",0 - 50,"CPU, memory, Network I/O",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/12/2018 18:32:39,GCP - using Kubernetes Engine,Horizontal Autoscaler,50 - 100,CPU,We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/12/2018 18:36:13,On premise or private cloud - I don't use public cloud,Vertical Pod Autoscaler,50 - 100,memory,We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 18:43:09,Aliyun,Horizontal Autoscaler,50 - 100,CPU,We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 18:56:50,On premise or private cloud - I don't use public cloud,Vertical Pod Autoscaler,200 - 500,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/12/2018 18:57:11,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,0 - 50,memory,We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 19:02:15,GCP - I manage my own cluster(s),Cluster Autoscaler,200 - 500,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/12/2018 19:09:41,AWS - I manage my own cluster(s),"Cluster Autoscaler, Horizontal Autoscaler",50 - 100,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,11 - 20
7/12/2018 19:16:02,GCP - using Kubernetes Engine,I am not using kubernetes currently,0 - 50,I did not need this when I was trying kubernetes ,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/12/2018 19:23:58,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,50 - 100,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/12/2018 19:26:31,"AWS - I manage my own cluster(s), huaweicloud","Cluster Autoscaler, Horizontal Autoscaler, Vertical Pod Autoscaler",more than 500,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/12/2018 19:33:52,"GCP - using Kubernetes Engine, GCP - I manage my own cluster(s), On premise or private cloud - I don't use public cloud","Horizontal Autoscaler, Vertical Pod Autoscaler",more than 500,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,more than 100
7/12/2018 19:39:22,On premise or private cloud - I don't use public cloud,"Horizontal Autoscaler, Vertical Pod Autoscaler",100 - 200,"CPU, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/12/2018 20:00:24,AWS - I manage my own cluster(s),Cluster Autoscaler,100 - 200,"CPU, memory",Cluster autoscaler has very limited support for spot instances,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,11 - 20
7/12/2018 20:02:39,"AWS - Elastic Kubernetes Services, AWS - I manage my own cluster(s)",None - my resources needs are mostly static.,0 - 50,"CPU, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 20:03:21,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,50 - 100,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/12/2018 20:05:13,AWS - I manage my own cluster(s),Horizontal Autoscaler,more than 500,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,more than 100
7/12/2018 20:06:01,GCP - using Kubernetes Engine,Vertical Pod Autoscaler,0 - 50,memory,We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 20:08:24,"GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud",Horizontal Autoscaler,50 - 100,"CPU, memory, Network I/O",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/12/2018 20:09:01,Azure - using Azure Kubernetes Services,Cluster Autoscaler,0 - 50,"CPU, Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/12/2018 20:09:10,AWS - I manage my own cluster(s),None - my resources needs are mostly static.,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 20:10:12,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,50 - 100,"CPU, memory",We tend to over-provision and pay more than we should,We use Openshift to allocate resources to our teams. We plan to set limits for them.,Yes,anonymized ,1 - 5 nodes
7/12/2018 20:10:18,"AWS - I manage my own cluster(s), Aliyun","Cluster Autoscaler, Vertical Pod Autoscaler",50 - 100,memory,We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/12/2018 20:10:28,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,200 - 500,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/12/2018 20:11:38,AWS - I manage my own cluster(s),Horizontal Autoscaler,0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 20:20:47,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,50 - 100,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 20:27:14,"GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud","Cluster Autoscaler, Horizontal Autoscaler, Vertical Pod Autoscaler",more than 500,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,more than 100
7/12/2018 20:47:45,AWS - I manage my own cluster(s),"Cluster Autoscaler, Horizontal Autoscaler",0 - 50,CPU,We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/12/2018 20:49:47,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,CPU,We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 20:53:27,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud",None - my resources needs are mostly static.,more than 500,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,Every team manages their own application yamls,Yes,anonymized ,more than 100
7/12/2018 21:22:59,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,100 - 200,"CPU, memory, Network I/O",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/12/2018 21:39:32,AWS - I manage my own cluster(s),Cluster Autoscaler,50 - 100,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,20 - 50
7/12/2018 21:50:02,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud","Cluster Autoscaler, None - my resources needs are mostly static.",0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/12/2018 21:53:21,GCP - using Kubernetes Engine,None - my resources needs are mostly static.,0 - 50,"CPU, memory, Network I/O",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/12/2018 22:02:55,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,50 - 100,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/12/2018 22:07:25,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,50 - 100,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/12/2018 22:13:36,"Azure - using Azure Kubernetes Services, On premise or private cloud - I don't use public cloud",Vertical Pod Autoscaler,0 - 50,CPU,We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/12/2018 22:15:34,"AWS - Elastic Kubernetes Services, GCP - using Kubernetes Engine",Horizontal Autoscaler,50 - 100,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/12/2018 22:32:20,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
